batter_a,year,strikeout_mean.1.00,strikeout_mean.2.00,strikeout_mean.3.00,strikeout_mean.4.00,strikeout_mean.5.00,strikeout_mean.6.00,strikeout_mean.7.00,strikeout_mean.8.00,walk_mean.1.00,walk_mean.2.00,walk_mean.3.00,walk_mean.4.00,walk_mean.5.00,walk_mean.6.00,walk_mean.7.00,walk_mean.8.00
troum001,"2,016.00",0.25,0.20,0.17,0.18,0.12,0.13,0.17,0.20,0.13,0.07,0.13,0.17,0.15,0.08,0.17,0.20
trumm001,"2,012.00",0.27,0.15,0.22,0.27,0.12,0.20,0.27,0.35,0.08,0.08,0.03,0.08,0.00,0.07,0.07,0.02
trumm001,"2,013.00",0.18,0.30,0.28,0.25,0.13,0.23,0.30,0.32,0.05,0.08,0.10,0.08,0.17,0.03,0.02,0.07
trumm001,"2,015.00",0.20,0.13,0.23,0.30,0.25,0.30,0.22,0.25,0.02,0.07,0.08,0.02,0.07,0.05,0.10,0.07
trumm001,"2,016.00",0.20,0.35,0.22,0.30,0.23,0.30,0.18,0.27,0.03,0.08,0.07,0.08,0.05,0.05,0.10,0.02
tulot001,"2,013.00",0.12,0.12,0.15,0.13,0.22,0.22,0.17,0.13,0.12,0.12,0.00,0.07,0.08,0.08,0.10,0.15
tulot001,"2,015.00",0.20,0.25,0.18,0.17,0.18,0.20,0.17,0.22,0.02,0.02,0.03,0.08,0.07,0.12,0.08,0.08
tulot001,"2,016.00",0.28,0.27,0.18,0.18,0.17,0.13,0.22,0.08,0.10,0.12,0.05,0.10,0.05,0.07,0.10,0.05
turnj001,"2,016.00",0.13,0.17,0.12,0.20,0.13,0.18,0.12,0.25,0.05,0.10,0.12,0.07,0.07,0.10,0.07,0.02
uggld001,"2,012.00",0.18,0.27,0.33,0.22,0.32,0.32,0.28,0.25,0.10,0.10,0.13,0.22,0.20,0.07,0.15,0.12
uggld001,"2,013.00",0.30,0.37,0.32,0.32,0.37,0.22,0.32,0.30,0.15,0.13,0.10,0.18,0.17,0.10,0.07,0.15
uptob001,"2,012.00",0.13,0.27,0.28,0.25,0.32,0.27,0.22,0.23,0.07,0.12,0.03,0.05,0.08,0.12,0.07,0.05
uptob001,"2,014.00",0.30,0.25,0.40,0.22,0.33,0.25,0.32,0.35,0.07,0.12,0.12,0.07,0.07,0.05,0.07,0.12
uptob001,"2,016.00",0.20,0.32,0.23,0.22,0.28,0.40,0.38,0.27,0.13,0.10,0.05,0.02,0.02,0.02,0.05,0.07
uptoj001,"2,012.00",0.22,0.27,0.17,0.25,0.20,0.20,0.13,0.20,0.13,0.03,0.15,0.08,0.05,0.10,0.13,0.08
uptoj001,"2,013.00",0.23,0.30,0.18,0.38,0.25,0.15,0.22,0.23,0.08,0.15,0.22,0.05,0.13,0.10,0.03,0.10
